repository,repository_id,exact_head,head_state,default_branch,archived,fork,visibility,first_party,controller_relevance,transport_relevance,plant_relevance,state_relevance,evidence_relevance,supply_chain_relevance,agentic_tool_relevance,tcb_class,audit_depth,classification_status,justification,reviewer,review_date,review_attestation,review_status
sepahead/anthropic-quickstarts,851836583,86c2204f10426e3117dcc6e65919c3b042707c32,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/anything-llm,853781284,86f4466afbfb72f321e5aac84738a7b90c5cf901,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/arbor,244966044,45885c22a8cbfd1cefdae1652845226eeddfe568,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/autogen,901989983,afd6257ac9ffab6c1397b274c638e1eaa969746b,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/awesome-llm-powered-agent,871819186,f569bfc3a9b44ee471ff6425774627da5e427c2f,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/bee-agent-framework,877598321,f9592876fbcd1fb6577743411ea3cddf0e89263a,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/bevy,1103376927,0500409990ee587d007d2d26cb9e92739c4f1643,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/brojapid-activationfunctions,273734984,f97c463973b1223b956b3d34175543f05d6a099a,COMMIT,master,false,false,PUBLIC,true,true,false,false,false,true,true,false,OFFLINE_RESEARCH_TOOL,DEEP,FINAL_FOR_INVENTORY,"First-party PID analysis code for neural-network activation functions. It can influence neural-controller research, derived evidence, and research-artifact selection, but no reviewed Haldir source documents it as a deployed runtime component.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/candle,1103210483,9ca71dee9d9700f2466e0fc8b2fa3e768fff1e89,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/checkmate,901800724,76d0d1b48627676e89ae7b921d7e273dd58e16ee,COMMIT,develop,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/cobot-atlas,1255108598,8fe271eedb5437ad4d244c1f312cde9461f619c9,COMMIT,main,false,false,PUBLIC,true,false,false,true,true,false,true,false,UNTRUSTED_FIXTURE_SOURCE,DEEP,FINAL_FOR_INVENTORY,"First-party robot cobot simulation mesh pipeline explicitly limited by Haldir to immutable scenario data input. Asset provenance, generation, and simulator-facing supply-chain boundaries require deep review; the corpus is not trusted state or plant authority.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/coconut,918172340,d1c10b134ad2bded92b0eca4c0a422c513a12dea,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/codex,1063305639,5b910f1f05f4484692babcb78e95c42408adf630,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/companion-app,665762483,ec56973d4a84e647caddccbdea4300f3e913dfaa,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/context-hub,1183718578,02ba375c4deb4ba1d54550609bcd8b0e98ecf79c,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/cortexel,1276859115,def8f9df28c9b8747e290f9ba2780a6d29924dbe,COMMIT,main,false,false,PUBLIC,true,false,false,false,true,true,false,false,READ_ONLY_VISUALIZER,DEEP,FINAL_FOR_INVENTORY,"First-party deterministic scientific-figure and provenance tool explicitly designated by Haldir as a read-only evidence visualizer. It may consume exported state evidence artifacts but must have no live control, signing, or evidence-mutation capability.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/crawl4ai,914374650,f9c601eb7e9007baa068df8d4a21de2da9ae58f0,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/crebain,1189129553,43df8418f1b17b773acdc85533b7fba431dc5468,COMMIT,main,false,false,PUBLIC,true,false,true,true,true,true,true,false,PLANT_TCB,DEEP,FINAL_FOR_INVENTORY,"First-party repository explicitly designated as the intended sole plant body owner. Its ROS Gazebo simulation, perception state, NCP consumer boundary, plant profile, command handling, and resulting evidence require deep review; current integration remains unproven.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/crebain-native,1218277485,6ac8798ab1a50c599a76028442ee5ab33a489fcc,COMMIT,main,false,false,PUBLIC,true,false,true,true,true,true,false,false,LEGACY_BYPASS_RISK,DEEP,FINAL_FOR_INVENTORY,First-party archived alternate Crebain implementation explicitly identified by Haldir as a legacy or direct-control path that must be absent or observer-only. Its plant and state path could bypass the Gate even though it is not an authorized deployment.,Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/data-to-paper,851317530,cd4d493721ff1e3ea148290e41c3ec4e4f1d7796,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/dllm,1094369044,aeab20420847bbddede26cd9015ac6286e625ef1,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/docetl,962505348,0e3ad71d324ba5ecb33e62fc8c69f438764950ce,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/docling,882105829,244ca69cfd8a17b449a0a6baaf062b0b5b798bb1,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/dreamfields-3D,542208840,c4e3ded3ddf62fd9979a65201ee88cee659dcf89,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/dspy,902604099,62463014d2f13d3ef1dfe13b4ca046b5831aaff5,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/eliza,899411433,7fb73d209a5d6d09a039515a088ff14b48691511,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/engram,1254667731,a4ce6ab9897dd3f1265b4cacc53f0afc349087cd,COMMIT,main,false,false,PUBLIC,true,true,true,false,true,true,true,false,CONTROLLER_UNTRUSTED_PRODUCER,DEEP,FINAL_FOR_INVENTORY,The reviewed Haldir sources identify Engram as the neural-controller producer boundary. The retained observation does not expose an implementation and grants no authority. Its controller artifact and NCP intent boundary require deep review before integration.,Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/entropix,900999866,0a7f7bb25ee50e5fc54a1b59953a718de1a6e1ef,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/excalidraw,906055760,d99e4a23ca0d9a6162e6c78ff52646189bc41d1a,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/expo-dom-components-canary-example,845264035,2194c2e2df2995a1c66b096457dab1a4c63bbe7f,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/fabric,915026260,92bbbfe88b1addfe52293e11a9de7ee872f9ba12,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/fragments,867255539,9e2d1e7adaaefbe7a05f731e0980c59c02553c96,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/galadriel,1294132537,542f579280f4ae5236653b3b09b15530ed5840fe,COMMIT,main,false,false,PUBLIC,true,false,true,false,true,true,false,false,ADVISORY_EVIDENCE_PRODUCER,DEEP,FINAL_FOR_INVENTORY,"First-party Galadriel is explicitly limited to optional advisory state-quality evidence. Its NCP observer boundary, producer attestations, statistical diagnostics, and evidence outputs need deep review; it is not mission or plant authority.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/garak,890517995,d8bd12ea969eec3773262419a7cbb2730ce117b4,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/gaussian-vrm,1090451627,e2f4c8d92d2743515b010144972b26361c815760,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/gemini-fullstack-langgraph-quickstart,996330613,fddf107e0a9f6c1f3c45f70031b65a7138a281b1,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/generative_agents,677148123,7373f4eb5d604b1d75b062193a56e279f5bf8201,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/gpt4all,625609121,ed53fe19667b7104c46dac7ed43550b8244d66ee,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/groupweave,1030641378,a97c52368926fff8b6803a4b3fe135ea864a3781,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/guidance,770683859,55d8e6f628e714106983c4a58351c26f92900358,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/gym,68237715,3c95d3af8f472e60dd75853d181362f93c0db77f,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/haldir,1292802592,6d3c323095d1f1f34b933a322da6bf21bf2dbe80,COMMIT,main,false,false,PUBLIC,true,true,true,true,true,true,true,false,GATE_RUNTIME_TCB,DEEP,FINAL_FOR_INVENTORY,"First-party Haldir Gate implementation and the mission admission policy authority boundary. It consumes controller intents and trusted state, enforces NCP transport and plant-facing authorization, emits signed evidence, and is the primary runtime TCB subject.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/hermes-agent,1220353553,6f1eed3968318dc1d6ca3fb3ded2de6fc8e50308,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,true,true,true,OFFLINE_RESEARCH_TOOL,BOUNDARY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. Haldir documentation limits it to sandboxed research orchestration with no control or signing capability. The sandbox, credentials, and write boundary require review; the observation does not prove runtime deployment.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/instructor,911803681,887316c8267df621b985c736a2ebba504edf2399,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/itermplot,78970599,036dac34db08c8aa5d267d022d2ea6178dcb7bfc,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/jj,1049179519,735a27d4efae6b5a0524f10fca23b0b1b61becc0,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
